,Date,Nasdaq_close,Dow_close,BTC_close,SP_close
0,2014-01-02,4143.0698,16441.3496,,1831.98
1,2014-01-03,4131.9102,16469.9902,,1831.37
2,2014-01-06,4113.6802,16425.0996,,1826.77
3,2014-01-07,4153.1802,16530.9395,,1837.88
4,2014-01-08,4165.6099,16462.7402,,1837.49
5,2014-01-09,4156.1899,16444.7598,,1838.13
6,2014-01-10,4174.6699,16437.0508,,1842.37
7,2014-01-13,4113.2998,16257.9404,,1819.2
8,2014-01-14,4183.02,16373.8604,,1838.88
9,2014-01-15,4214.8799,16481.9395,,1848.38
10,2014-01-16,4218.6899,16417.0098,,1845.89
11,2014-01-17,4197.5801,16458.5605,,1838.7
12,2014-01-21,4225.7598,16414.4395,,1843.8
13,2014-01-22,4243.0,16373.3398,,1844.86
14,2014-01-23,4218.8799,16197.3496,,1828.46
15,2014-01-24,4128.1699,15879.1104,,1790.29
16,2014-01-27,4083.6101,15837.8799,,1781.5601
17,2014-01-28,4097.96,15928.5596,,1792.5
18,2014-01-29,4051.4299,15738.79,,1774.2
19,2014-01-30,4123.1299,15848.6104,,1794.1899
20,2014-01-31,4103.8799,15698.8496,,1782.59
21,2014-02-03,3996.96,15372.7998,,1741.89
22,2014-02-04,4031.52,15445.2402,,1755.2
23,2014-02-05,4011.55,15440.2305,,1751.64
24,2014-02-06,4057.1201,15628.5303,,1773.4301
25,2014-02-07,4125.8599,15794.0801,,1797.02
26,2014-02-10,4148.1699,15801.79,,1799.84
27,2014-02-11,4191.0498,15994.7695,,1819.75
28,2014-02-12,4201.29,15963.9404,,1819.26
29,2014-02-13,4240.6699,16027.5898,,1829.83
30,2014-02-14,4244.02,16154.3896,,1838.63
31,2014-02-18,4272.7798,16130.4004,,1840.76
32,2014-02-19,4237.9502,16040.5596,,1828.75
33,2014-02-20,4267.5498,16133.2305,,1839.78
34,2014-02-21,4263.4102,16103.2998,,1836.25
35,2014-02-24,4292.9702,16207.1396,,1847.61
36,2014-02-25,4287.5898,16179.6602,,1845.12
37,2014-02-26,4292.0601,16198.4102,,1845.16
38,2014-02-27,4318.9302,16272.6504,,1854.29
39,2014-02-28,4308.1201,16321.71,,1859.45
40,2014-03-03,4277.2998,16168.0303,,1845.73
41,2014-03-04,4351.9702,16395.8809,,1873.91
42,2014-03-05,4357.9702,16360.1797,,1873.8101
43,2014-03-06,4352.1299,16421.8906,,1877.03
44,2014-03-07,4336.2202,16452.7207,,1878.04
45,2014-03-10,4334.4502,16418.6797,,1877.17
46,2014-03-11,4307.1899,16351.25,,1867.63
47,2014-03-12,4323.3301,16340.0801,,1868.2
48,2014-03-13,4260.4199,16108.8896,,1846.34
49,2014-03-14,4245.3999,16065.6699,,1841.13
50,2014-03-17,4279.9502,16247.2197,,1858.83
51,2014-03-18,4333.3101,16336.1904,,1872.25
52,2014-03-19,4307.6001,16222.1699,,1860.77
53,2014-03-20,4319.29,16331.0498,,1872.01
54,2014-03-21,4276.79,16302.7695,,1866.52
55,2014-03-24,4226.3901,16276.6904,,1857.4399
